CO2Air,TAir,TTop,TCan
898.0004003,21.6,22.6,22.6
906.998398,21.5,22.5,22.5
887.202802,21.5,22.5,22.5
885.4032001,21.4,22.4,22.4
887.2028,21.3,22.3,22.3
876.4052006,21.29999999,22.29999999,22.29999999
885.4031988,21.20000001,22.20000001,22.20000001
865.6076013,21.29999999,22.29999999,22.29999999
858.4092002,21.3,22.3,22.3
883.6035999,21.1,22.1,22.1
881.8039986,21.1,22.1,22.1
867.4072014,21.1,22.1,22.1
856.6096004,21.2,22.2,22.2
867.4072,21,22,22
845.8120012,20.7,21.7,21.7
863.8079976,20.7,21.7,21.7
844.0124013,20.79999999,21.79999999,21.79999999
845.8119999,20.7,21.7,21.7
822.4172006,20.8,21.8,21.8
840.4131987,20.79999998,21.79999998,21.79999998
827.8160013,20.60000002,21.60000002,21.60000002
835.0143998,20.79999999,21.79999999,21.79999999
840.4132,20.8,21.8,21.8
827.8160002,20.70000001,21.70000001,21.70000001
831.4151995,20.89999997,21.89999997,21.89999997
842.2127993,20.9,21.9,21.9
829.6156004,21,22,22
815.2188,21,22,22
815.2188002,20.99999999,21.99999999,21.99999999
817.0183998,20.90000001,21.90000001,21.90000001
827.8159996,20.9,21.9,21.9
826.0164,20.9,21.9,21.9
818.8179999,20.9,21.9,21.9
817.0184002,20.9,21.9,21.9
820.6175998,20.99999999,21.99999999,21.99999999
827.8159998,20.9,21.9,21.9
817.0184,21,22,22
817.0184005,20.99999999,21.99999999,21.99999999
822.4171995,20.90000001,21.90000001,21.90000001
808.0204005,20.9,21.9,21.9
822.4172,21.1,22.1,22.1
817.0183992,21,22,22
804.4212017,21,22,22
808.0203998,21,22,22
811.6195999,21.1,22.1,22.1
800.8220005,21,22,22
817.0184005,21,22,22
822.4171995,21,22,22
802.6216007,21,22,22
809.82,21,22,22
806.2207998,21.00000001,22.00000001,22.00000001
802.6216005,21.09999999,22.09999999,22.09999999
817.018399,21.00000001,22.00000001,22.00000001
817.0184,21,22,22
804.4212002,21,22,22
811.6195975,20.90000001,21.90000001,21.90000001
786.4252025,20.99999999,21.99999999,21.99999999
799.0223996,21,22,22
790.0244,21.1,22.1,22.1
804.4211999,20.99999999,21.99999999,21.99999999
802.6216002,20.80000003,21.80000003,21.80000003
802.6216,20.89999999,21.89999999,21.89999999
809.8199998,20.9,21.9,21.9
817.0183991,20.8,21.8,21.8
790.0244022,20.70000001,21.70000001,21.70000001
811.6195978,20.79999999,21.79999999,21.79999999
800.8220004,20.8,21.8,21.8
813.4192,20.7,21.7,21.7
782.8260019,20.8,21.8,21.8
811.6195961,20.8,21.8,21.8
799.0224008,20.70000001,21.70000001,21.70000001
811.6195996,20.8,21.8,21.8
802.6216004,20.7,21.7,21.7
815.2187991,20.8,21.8,21.8
806.2208009,20.8,21.8,21.8
790.0244005,20.60000001,21.60000001,21.60000001
791.824,20.8,21.8,21.8
799.0224004,20.60000001,21.60000001,21.60000001
804.4211993,20.69999999,21.69999999,21.69999999
815.2187993,20.50000001,21.50000001,21.50000001
818.8179999,20.6,21.6,21.6
799.0224006,20.59999999,21.59999999,21.59999999
817.0183978,20.30000003,21.30000003,21.30000003
795.4232022,20.59999997,21.59999997,21.59999997
809.8199995,20.5,21.5,21.5
820.6176,20.4,21.4,21.4
791.8240021,20.30000001,21.30000001,21.30000001
822.4171959,20.39999999,21.39999999,21.39999999
811.6196007,20.4,21.4,21.4
817.0183998,20.3,21.3,21.3
969.9844018,20.5,21.5,21.5
1023.972427,20.49999999,21.49999999,21.49999999
1288.513573,20.40000001,21.40000001,21.40000001
1362.297198,20.4,21.4,21.4
1385.692,20.3,21.3,21.3
1364.096795,20.39999999,21.39999999,21.39999999
1290.31321,20.30000001,21.30000001,21.30000001
1230.926404,20.49999999,21.49999999,21.49999999
1283.114798,20.30000001,21.30000001,21.30000001
1265.1188,20.5,21.5,21.5
1272.317202,20.5,21.5,21.5
1293.912398,20.5,21.5,21.5
1295.712,20.6,21.6,21.6
1259.72,20.8,21.8,21.8
1248.922399,21.10000001,22.10000001,22.10000001
1239.924401,21.19999999,22.19999999,22.19999999
1295.711996,21.29999999,22.29999999,22.29999999
1322.705999,21.3,22.3,22.3
1279.515598,21.6,22.6,22.6
1232.726009,21.49999998,22.49999998,22.49999998
